osm_id,registered_name,category_group,specific_type,latitude,longitude,district
4804125423,"Bilaal Collage","Universities & Education",school,9.54314,44.05907,"Hugur Street"
5367492021,"الهدى","Universities & Education",school,9.54297,44.06594,"Hargeisa"
6342541287,"AGOOMAHA ALMANAAR","Universities & Education",school,9.56369,44.11649,"Road Number 1 / طريق رقم 1"
8197045217,"BIHI COLLEGE","Universities & Education",college,9.56146,44.06733,"Road Number 1 / طريق رقم 1"
8929222535,"Malcamada Daar Al Hikma","Universities & Education",school,9.54336,44.05659,"masjid rashiid street"
8929222536,"Dayib Guray Secondry school","Universities & Education",school,9.54911,44.05271,"Hargeisa"
8929222537,"Alifdoon Preimery School","Universities & Education",school,9.55051,44.05325,"Birjeex Street"
8930352342,"Xalane School","Universities & Education",school,9.55291,44.06689,"Hargeisa"
8930352343,"Quule Aadan S.School","Universities & Education",school,9.55379,44.06676,"Hargeisa"
11263937169,"Ileys Secondary School 1","Universities & Education",school,9.57055,44.00885,"Ileys S.School 1"
12533533302,"Al-Huda Org","Universities & Education",school,9.49625,44.06515,"Hargeisa"
202439604,"Dugsiga Biyo Dhacay Sare","Universities & Education",school,9.57152,44.06283,"Hargeisa"
305183548,"Janan Daauud School","Universities & Education",school,9.5502,44.06532,"Hargeisa"
305185797,"Cismaan binu Cafaan Secondery School","Universities & Education",school,9.54844,44.06144,"faarax nuur street"
305185803,"Cismaan binu Cafaan primery school","Universities & Education",school,9.54823,44.06145,"faarax nuur street"
449354047,"Farah Omaar Secondary School","Universities & Education",school,9.55559,44.05233,"Hargeisa"
449354369,"University of Hargeisa","Universities & Education",university,9.54635,44.04693,"Hargeisa"
798770515,"Gollis University","Universities & Education",university,9.56215,44.03865,"Hargeisa"
798783193,"Islamic Online University","Universities & Education",university,9.56306,44.06065,"Hargeisa"
1391629523,"Noradin Primary School","Universities & Education",school,9.57481,44.05767,"Hargeisa"
1104353958,"Fuel Stop (Daalo)","Transit & Services",fuel,9.56169,44.06442,"Hargeisa"
1138798640,"Jano Gaaban Fuel-station","Transit & Services",fuel,9.56214,44.03595,"Hargeisa"
1138798728,"Kaah Fuel Stations","Transit & Services",fuel,9.56071,44.11581,"Hargeisa"
1138798736,"Barwaaqo Fuel-station","Transit & Services",fuel,9.56575,44.02917,"Hargeisa"
1138799024,"Tawakal Fuel Station","Transit & Services",fuel,9.56452,44.04275,"Hargeisa"
1138799116,"National Fuel-station","Transit & Services",fuel,9.5631,44.03322,"Jigjiga Yar Road"
1138799180,"Kaalenta shidaal ee ayaan","Transit & Services",fuel,9.56182,44.0634,"Road Number 1"
1138799283,"Boqoljire Fuel-station","Transit & Services",fuel,9.56942,44.02041,"Hargeisa"
1138799352,"Total توتال","Transit & Services",fuel,9.56004,44.04718,"Hargeisa"
3201166289,"Gaafane F-staton & Ekectricity","Transit & Services",fuel,9.57146,44.01752,"Hargeisa"
3201174943,"HASS Fuel-station","Transit & Services",fuel,9.56522,44.03016,"Hargeisa"
4463857548,"Total Fuel Station","Transit & Services",fuel,9.57343,44.03513,"Hargeisa"
4590096108,"Unigas","Transit & Services",fuel,9.56538,44.06058,"Togdheer Road"
4803797224,"Qalad","Transit & Services",bus_stop,9.54736,44.05914,"Hargeisa"
4804138021,"Isgoyska badhka","Transit & Services",bus_stop,9.53941,44.06006,"Hargeisa"
6016412319,"Isleg Fuel station and super market","Transit & Services",fuel,9.58172,44.0622,"Jidka 150 Ka"
6200580786,"Bidhaan Fuel Station","Transit & Services",fuel,9.54571,44.07488,"Airport Road طريق المطار"
6234813885,"isha borama bus stop","Transit & Services",bus_stop,9.54234,44.05125,"Hargeisa"
6264216385,"hass masala fuel staion","Transit & Services",fuel,9.51876,44.07643,"Hargeisa"
8398109717,"Burleeg Bus Stop","Transit & Services",bus_stop,9.53997,44.05804,"Hargeisa"
8930523869,"Al Nuurayn Fuel station","Transit & Services",fuel,9.54691,44.05862,"Faarax Nuur Street"
9277179890,"Alibaarjeex  Fuel Station","Transit & Services",fuel,9.54145,44.08724,"Hargeisa"
9277195533,"Star Fuel Station","Transit & Services",fuel,9.53664,44.076,"Hargeisa"
9775169934,"Brothers fuel station 2","Transit & Services",fuel,9.57953,44.0495,"150 street"
9959463818,"Gurey fuel station","Transit & Services",fuel,9.5778,44.0773,"Hargeisa"
363947528,"Guleed Hotel Close","Hotels & Hospitality",service,9.56334,44.04229,"Lixle الحلي"
305188214,"Maan Soor Hotel","Hotels & Hospitality",hotel,9.57552,44.03159,"Jigjiga Yar"
908883778,"Dahabshiil Bank / Damal Hotel","Hotels & Hospitality",commercial,9.56194,44.0648,"Lixle الحلي"
1557631512,"Oriental Hotel","Hotels & Hospitality",hotel,9.56224,44.06791,"Sheekh Madar الشيخ مدر"
906822942,"Beder Hotel","Hotels & Hospitality",hotel,9.56212,44.06057,"Almis"
6289232385,"XAWAALADA TAAJ (safari hotel)","Hotels & Hospitality",bank,9.56271,44.03625,"Guul Ala"
4715776189,"مطعم وفندق هاروناچ","Hotels & Hospitality",restaurant,9.55827,44.06704,"Sheekh Madar الشيخ مدر"
1545263730,"Serene Sarovar Premiere Hargeisa","Hotels & Hospitality",hotel,9.52861,44.07855,"Jameeco Weyn"
1376931543,"Manahl Hospital","Hospitals & Healthcare",hospital,9.54437,44.07693,"Jameeco Weyn"
6291085485,"XAWAALADA TAAJ ADNA HOSPITAL","Hospitals & Healthcare",bank,9.55077,44.0668,"Makamed Cali محمد علي"
323360602,"طريق المدرسة ١٨ مايو","Universities & Education",residential,9.56197,44.04122,"Lixle الحلي"
1113032500,"Hormuud school","Universities & Education",yes,9.60126,44.02623,"Waraabe Salaan"
